,VC,Size,Internal Weight,External Weight,Quality,P-value,Min Dist,Max Dist,Total Dist,Below Thres,Taxon Prediction Score,Avg Dist,Members,order,family,genus
114,VC_17_0,12,7031.786236719067,1506.2384598843632,0.8235846681863581,2.7920432816472206e-17,1.0,7.0,66,66,1.0,4.9408967747514945,"Stygiolobus~rod-shaped~virus,Sulfolobus~islandicus~rod-shaped~virus~1,Sulfolobus~islandicus~rod-shaped~virus~10,Sulfolobus~islandicus~rod-shaped~virus~11,Sulfolobus~islandicus~rod-shaped~virus~2,Sulfolobus~islandicus~rod-shaped~virus~4,Sulfolobus~islandicus~rod-shaped~virus~5,Sulfolobus~islandicus~rod-shaped~virus~6,Sulfolobus~islandicus~rod-shaped~virus~7,Sulfolobus~islandicus~rod-shaped~virus~8,Sulfolobus~islandicus~rod-shaped~virus~9,Sulfolobus~islandicus~rudivirus~3","['Unassigned', 'Ligamenvirales']","['Unassigned', 'Rudiviridae']","['Unassigned', 'Rudivirus']"
115,VC_180_0,10,7192.855973271103,334.64088594825085,0.9555442011857638,4.030580504136931e-21,3.0,6.324555320336759,45,45,1.0,4.780491963361669,"Pseudomonas~phage~DL54,Pseudomonas~phage~LUZ24,Pseudomonas~phage~PaP3,Pseudomonas~phage~PhiCHU,Pseudomonas~phage~TL,Pseudomonas~phage~UFV-P2,Pseudomonas~phage~phiIBB-PAA2,Pseudomonas~phage~tf,Pseudomonas~phage~vB_PaeP_C2-10_Ab22,Pseudomonas~phage~vB_PaeP_p2-10_Or1","['Unassigned', 'Caudovirales']","['Unassigned', 'Podoviridae']","['Unassigned', 'Luz24virus']"
116,VC_181_0,5,3000.0,6312.93597903604,0.3221325698741164,1.5669115468261246e-07,3.605551275463989,5.0990195135927845,10,10,1.0,4.494812469948654,"Escherichia~phage~FFH2,Escherichia~phage~FV3,Escherichia~phage~JES2013,Escherichia~phage~V5,Escherichia~phage~slur16","['Caudovirales', 'Unassigned']","['Myoviridae', 'Unassigned']","['V5virus', 'Unassigned']"
117,VC_181_1,2,300.0,5048.851845409061,0.056086803050544594,0.13396749110470108,5.656854249492381,5.656854249492381,1,1,1.0,5.656854249492381,"Cronobacter~phage~vB_CsaM_GAP31,Escherichia~phage~4MG",['Caudovirales'],['Myoviridae'],['Se1virus']
118,VC_181_2,2,300.0,5355.4851132458,0.0530458473486855,0.12850627382720103,5.744562646538029,5.744562646538029,1,1,1.0,5.744562646538029,"Salmonella~phage~PVP-SE1,Salmonella~phage~SSE121",['Caudovirales'],['Myoviridae'],['Se1virus']
119,VC_181_3,1,0,2854.660688703837,0.0,1,0,0,1,1,1,0,Klebsiella~phage~vB_KpnM_KB57,['Unassigned'],['Unassigned'],['Unassigned']
120,VC_181_4,1,0,2674.1733052456,0.0,1,0,0,1,1,1,0,Escherichia~phage~Av-05,['Unassigned'],['Unassigned'],['Unassigned']
121,VC_183_0,25,33962.537839905024,760.0124066220199,0.9781118494688321,4.066902225694934e-48,1.4142135623730951,9.433981132056603,300,290,0.9666666666666667,7.138516959971589,"Citrobacter~virus~Stevie,Cronobacter~virus~ESP29491,Enterobacteria~phage~vB_EcoS_NBD2,Enterobacteria~phage~vB_EcoS_Rogue1,Escherichia~phage~ADB-2,Escherichia~phage~EB49,Escherichia~phage~e4/1c,Escherichia~phage~vB_EcoS_AHP42,Escherichia~phage~vB_EcoS_AHS24,Escherichia~phage~vB_EcoS_AKS96,Escherichia~phage~vB_Eco_ACG-M12,Escherichia~virus~KP26,Escherichia~virus~Rtp,Escherichia~virus~T1,Escherichia~virus~TLS,Klebsiella~phage~1513,Klebsiella~phage~KLPN1,Klebsiella~phage~KP36,Klebsiella~phage~PKP126,Klebsiella~phage~Sushi,Salmonella~phage~36,Salmonella~phage~phSE-2,Shigella~phage~pSf-1,Shigella~phage~pSf-2,Shigella~virus~Shfl1","['Caudovirales', 'Unassigned']","['Siphoviridae', 'Unassigned']","['Tlsvirus', 'Unassigned', 'Rogue1virus', 'T1virus', 'Rtpvirus', 'Kp36virus']"
122,VC_184_0,2,37.99098160645865,696.3604028584664,0.051734064114470554,0.09097246724981965,7.416198487095663,7.416198487095663,1,1,1.0,7.416198487095663,"Erwinia~phage~phiEt88,Xanthomonas~phage~vB_XveM_DIBBI",['Unassigned'],['Unassigned'],['Unassigned']
123,VC_185_0,4,632.3720177945135,557.08006527054,0.5316498468479522,4.484024397913835e-05,6.244997998398398,6.855654600401044,6,6,1.0,6.590655533511729,"Salmonella~phage~64795_sal3,Salmonella~phage~IME207,Salmonella~phage~Vi~II-E1,Vibrio~phage~pYD38-A",['Unassigned'],['Unassigned'],['Unassigned']
124,VC_186_0,3,78.57021585442085,0,1.0,1,4.358898943540674,5.0990195135927845,3,3,1.0,4.75124999348206,"Clavibacter~phage~CMP1,Clavibacter~phage~CN1A,Microbacterium~phage~vB_MoxS-ISF9",['Unassigned'],['Unassigned'],['Unassigned']
125,VC_187_0,3,480.8378628076956,379.3897797910662,0.5589658353166571,0.00486716147263289,3.0,3.4641016151377544,3,3,1.0,3.260242135164385,"Clostridium~phage~phiCD111,Clostridium~phage~phiCD146,Clostridium~phage~phiCD38-2",['Unassigned'],['Unassigned'],['Unassigned']
126,VC_188_0,5,1333.7841908386529,998.8242383745736,0.5717994388318872,2.5853617407713863e-07,2.23606797749979,4.898979485566356,10,10,1.0,3.7631230235002624,"Clostridium~phage~phiCD481-1,Clostridium~phage~phiCD506,Clostridium~phage~phiCDHM11,Clostridium~phage~phiCDHM13,Clostridium~phage~phiMMP04",['Unassigned'],['Unassigned'],['Unassigned']
127,VC_189_0,3,208.45098309996382,49.553582591000676,0.8079352492918458,0.1,1.4142135623730951,1.7320508075688772,3,3,1.0,1.626105059170283,"Clostridium~phage~phiCP7R,Clostridium~phage~phiCPV4,Clostridium~phage~phiZP2",['Unassigned'],['Unassigned'],['Unassigned']
128,VC_18_0,4,677.9170523899935,253.94978679299982,0.7274827517033998,2.6804980365351884e-05,4.47213595499958,6.0,6,6,1.0,5.094109846376779,"Sulfolobus~monocaudavirus~SMV1,Sulfolobus~monocaudavirus~SMV2,Sulfolobus~monocaudavirus~SMV3,Sulfolobus~monocaudavirus~SMV4",['Unassigned'],['Unassigned'],['Unassigned']
