k141_434202||full_1	29613	2	0
k141_414092||full_1	7667	0	0
k141_275219||full_1	6487	0	0
k141_213169||full_1	225	25	9
k141_313655||full_1	1257	0	0
k141_534423||full_1	10861	356	10
k141_114691||full_1	13362	0	0
k141_314060||full_1	13825	667	28
k141_135371||full_1	36262	574	2
k141_314086||full_1	3987	1	1
k141_394648||full_1	39714	4	0
k141_94162||full_1	4137	0	0
k141_33445||full_1	237	0	0
k141_33586||full_1	2837	1150	41
k141_53351||full_1	871	0	0
k141_255482||full_1	75100	6943	34
k141_554077||full_1	27550	6	2
k141_554128||full_1	12032	0	0
k141_74673||full_1	24288	583	2
k141_455938||full_1	1115	179	78
k141_376631||full_1	1171	44	1
k141_34206||full_1	13691	286	10
k141_256364||full_1	993	24	4
k141_315403||full_1	1056	0	0
k141_295893||full_1	603	37	8
k141_194796||full_1	24078	17	1
k141_315559||full_1	8585	2	0
k141_256904||full_1	3219	308	7
k141_436367||full_1	10941	0	0
k141_95832||full_1	545	0	0
k141_457032||full_1	3336	0	0
k141_337390||full_1	4130	0	0
k141_457123||full_1	35962	750	11
k141_257155||full_1	5158	0	0
k141_55008||full_1	13209	0	0
k141_436794||full_1	921	726	93
k141_76151||full_1	2627	14	0
k141_215725||full_1	35128	874	8
k141_257741||full_1	2476	0	0
k141_316220||full_1	1510	2	0
k141_378141||full_1	34758	9680	97
k141_138385||full_1	3109	93	19
k141_96410||full_1	417	0	0
k141_297504||full_1	3950	110	2
k141_478170||full_1	887	0	0
k141_297711||full_1	4878	2	0
k141_118095||full_1	3718	7	1
k141_118148||full_1	1188	562	97
k141_379407||full_1	774	0	0
k141_278893||full_1	425	0	0
k141_177008||full_1	11259	0	0
k141_557007||full_1	5685	87	1
k141_97584||full_1	258	0	0
k141_258992||full_1	28884	8	0
k141_517111||full_1	2011	9	1
k141_379925||full_1	12598	22	0
k141_380339||full_1	819	0	0
k141_236901||full_1	23851	2	2
k141_580567||full_1	1515	177	42
k141_57367||full_1	1170	0	0
k141_397902||full_1	7058	0	0
k141_299613||full_1	2636	1990	52
k141_439582||full_1	10288	0	0
k141_518183||full_1	40673	2	0
k141_518193||full_1	2148	13	5
k141_398195||full_1	3199	0	0
k141_79372||full_1	13962	2041	23
k141_440035||full_1	820	0	0
k141_197850||full_1	2954	0	0
k141_359597||full_1	10478	0	0
k141_359597||full_2	28415	1	0
k141_300489||full_1	2446	11	1
k141_559213||full_1	22104	1	1
k141_519246||full_1	510	0	0
k141_419792||full_1	31366	4	0
k141_158917||full_1	1707	0	0
k141_39673||full_1	701	0	0
k141_199941||full_1	1490	0	0
k141_400173||full_1	24683	10	0
k141_520946||full_1	36817	8	0
k141_100189||0_partial_1	9093	1255	38
k141_140669||0_partial_1	10357	6516	111
k141_121405||0_partial_1	20662	1635	23
k141_221509||0_partial_1	18638	2628	24
k141_61906||0_partial_1	10174	78	0
k141_42007||0_partial_1	32152	76	0
k141_142341||0_partial_1	17345	16	0
k141_483688||0_partial_1	12031	0	0
k141_304132||0_partial_1	11548	2	2
k141_524254||0_partial_1	12619	1182	17
k141_43043||0_partial_1	24445	7241	74
k141_3878||0_partial_1	12625	0	0
k141_344526||0_partial_1	26846	2	0
k141_183551||0_partial_1	24564	2	0
k141_564926||0_partial_1	8432	7	7
k141_164120||0_partial_1	21158	16114	231
k141_404938||0_partial_1	17928	1035	33
k141_424886||0_partial_1	11516	2	0
k141_344848||0_partial_1	7375	0	0
