k141_256364||full_1	993	33	7
k141_315403||full_1	1056	0	0
k141_295893||full_1	603	11	4
k141_194796||full_1	24078	0	0
k141_315559||full_1	8585	114	2
k141_256904||full_1	3219	62	2
k141_436367||full_1	10941	15	2
k141_95832||full_1	545	1	1
k141_457032||full_1	3336	18	2
k141_337390||full_1	4130	8	0
k141_457123||full_1	35962	153	9
k141_257155||full_1	5158	0	0
k141_55008||full_1	13209	203	1
k141_436794||full_1	921	378	45
k141_76151||full_1	2627	22	0
k141_215725||full_1	35128	132	0
k141_257741||full_1	2476	2	0
k141_316220||full_1	1510	90	7
k141_378141||full_1	34758	449	6
k141_138385||full_1	3109	58	6
k141_96410||full_1	417	2	0
k141_297504||full_1	3950	13	1
k141_478170||full_1	887	0	0
k141_297711||full_1	4878	16	0
k141_118095||full_1	3718	186	4
k141_118148||full_1	1188	780	138
k141_379407||full_1	774	9	4
k141_278893||full_1	425	5	1
k141_177008||full_1	11259	766	22
k141_557007||full_1	5685	34	0
k141_97584||full_1	258	13	9
k141_258992||full_1	28884	1715	24
k141_517111||full_1	2011	225	16
k141_379925||full_1	12598	102	2
k141_380339||full_1	819	0	0
k141_236901||full_1	23851	935	7
k141_580567||full_1	1515	111	23
k141_57367||full_1	1170	14	0
k141_397902||full_1	7058	29	1
k141_299613||full_1	2636	44	5
k141_439582||full_1	10288	1406	22
k141_518183||full_1	40673	1	1
k141_518193||full_1	2148	12	2
k141_398195||full_1	3199	14	0
k141_79372||full_1	13962	106	2
k141_440035||full_1	820	0	0
k141_197850||full_1	2954	176	3
k141_359597||full_1	10478	128	0
k141_359597||full_2	28415	346	0
k141_300489||full_1	2446	52	1
k141_559213||full_1	22104	0	0
k141_519246||full_1	510	0	0
k141_419792||full_1	31366	2353	29
k141_158917||full_1	1707	114	6
k141_39673||full_1	701	0	0
k141_199941||full_1	1490	35	3
k141_400173||full_1	24683	2676	13
k141_520946||full_1	36817	29	15
k141_100189||0_partial_1	9093	5	1
k141_140669||0_partial_1	10357	6	0
k141_121405||0_partial_1	20662	16	0
k141_221509||0_partial_1	18638	30	0
k141_61906||0_partial_1	10174	964	14
k141_42007||0_partial_1	32152	715	5
k141_142341||0_partial_1	17345	365	3
k141_483688||0_partial_1	12031	81	1
k141_304132||0_partial_1	11548	932	75
k141_524254||0_partial_1	12619	287	5
k141_43043||0_partial_1	24445	445	6
k141_3878||0_partial_1	12625	22	2
k141_344526||0_partial_1	26846	2118	20
k141_183551||0_partial_1	24564	0	0
k141_564926||0_partial_1	8432	1515	28
k141_164120||0_partial_1	21158	893	134
k141_404938||0_partial_1	17928	87	3
k141_424886||0_partial_1	11516	543	7
k141_344848||0_partial_1	7375	12	6
k141_204687||0_partial_1	13140	1005	6
k141_325799||0_partial_1	14294	943	9
k141_425806||0_partial_1	13311	370	2
k141_546354||0_partial_1	29416	745	15
k141_386873||0_partial_1	14898	99	3
k141_346897||0_partial_1	5544	0	0
k141_426942||0_partial_1	44892	3062	8
k141_467628||0_partial_1	51985	5547	20
k141_7019||0_partial_1	13055	1446	13
k141_46358||0_partial_1	9509	16	4
k141_46362||0_partial_1	13813	800	10
k141_527591||0_partial_1	9076	87	2
k141_107021||0_partial_1	16781	12	2
k141_7855||0_partial_1	31883	26	0
k141_47268||0_partial_1	14831	3390	46
k141_489481||0_partial_1	17962	11	3
k141_588876||0_partial_1	12514	28	0
k141_569759||0_partial_1	9196	375	3
k141_449983||0_partial_1	24535	1421	145
k141_188946||0_partial_1	32967	6	0
k141_290541||0_partial_1	2919	121	7
k141_170071||0_partial_1	7212	226	5
k141_550013||0_partial_1	10258	116	0
k141_310045||0_partial_1	107168	7396	24
k141_310045||1_partial_1	37444	2400	14
k141_149691||0_partial_1	22619	822	50
k141_411563||0_partial_1	5125	24	0
k141_31293||0_partial_1	6036	220	4
k141_412565||0_partial_1	14792	211	7
k141_71853||0_partial_1	12399	559	17
k141_31430||0_partial_1	13569	5167	72
k141_592899||0_partial_1	14757	440	4
k141_533178||0_partial_1	2619	626	14
k141_13953||0_partial_1	21181	390	7
k141_192869||0_partial_1	10178	99	1
k141_354754||0_partial_1	2951	158	4
k141_294415||0_partial_1	17993	1081	11
k141_73748||0_partial_1	19541	1355	15
k141_255122||0_partial_1	17410	142	0
k141_153221||0_partial_1	11777	1100	12
k141_495392||0_partial_1	37352	1141	3
k141_233286||0_partial_1	14157	3807	57
k141_395151||0_partial_1	13041	44	0
k141_95312||0_partial_1	19134	73	17
k141_476549||0_partial_1	14611	671	9
k141_515226||0_partial_1	25582	6184	58
k141_234147||0_partial_1	43027	16	0
k141_154607||0_partial_1	900	79	7
k141_357092||0_partial_1	3159	16	2
k141_396493||0_partial_1	14607	230	9
k141_177004||0_partial_1	31988	2038	19
k141_499027||0_partial_1	5618	6	0
k141_459674||0_partial_1	11891	964	8
k141_318496||0_partial_1	48592	3763	22
k141_318882||0_partial_1	6290	20	0
k141_60021||1_partial_1	1124	34	2
k141_199899||0_partial_1	42092	576	2
k141_597314||lt2gene_1	677	6	1
k141_60132||full	2028	166	20
k141_240535||full	5477	10	0
k141_40749||full	2032	1	1
k141_402400||full	4137	1105	25
k141_563411||full	8364	10371	297
k141_285079||full	1930	112	47
k141_246994||full	790	4	1
k141_146135||full	2852	12	0
k141_268624||full	1682	109	6
k141_527639||full	2721	29	0
k141_48127||full	660	4	2
k141_508746||full	17506	1740	78
k141_229602||full	18336	2297	28
k141_291867||full	2067	95	12
k141_171387||full	2005	201	21
k141_112124||full	2419	48	2
k141_12673||full	7198	18	0
k141_295118||full	9514	490	11
k141_356008||full	8745	19	0
k141_278358||full	2675	2944	129
k141_516849||full	846	0	0
k141_298771||full	4311	0	0
k141_339839||full	13910	149	3
k141_540503||full	892	9	1
k141_600837||full	86894	1455	3
k141_600840||full	2685	8	0
k141_600842||full	4032	74	0
k141_600844||full	8923	68	2
k141_600846||full	5386	177915	3864
k141_600849||full	5148	190	2
k141_600852||full	3484	72	36
k141_600855||full	12932	2	0
k141_600861||full	7304	36	0
k141_600867||full	2473	147	5
k141_600870||full	2323	14	0
k141_600934||full	561	14	0
k141_320592||full	489	104	15
k141_440816||full	1454	6	0
k141_120225||full	2172	55	1
k141_160298||full	3231	61	2
k141_460854||full	4984	335	19
k141_561047||full	2142	5	1
k141_460855||full	1645	6	0
k141_440828||full	1100	18	4
k141_360682||full	1038	6	0
k141_520980||full	755	11	1
k141_220422||full	1017	0	0
k141_541016||full	2470	58	0
k141_140284||full	975	27	3
k141_120251||full	1370	113	33
k141_400767||full	1480	4	0
k141_120260||full	1181	74	0
k141_320643||full	1815	48	16
k141_60129||full	2048	591	90
k141_340653||full	938	0	0
k141_541029||full	4611	46	0
k141_541031||full	1864	180	64
k141_100191||full	1555	68	13
k141_220437||full	11676	0	0
k141_100193||full	854	115	16
k141_460908||full	3783	22	0
k141_240479||full	903	0	0
k141_40082||full	650	27	8
k141_400798||full	985	6	0
k141_280550||full	7370	583	2
k141_440871||full	2174	21	1
k141_180343||full	1494	186	74
k141_100210||full	1074	0	0
k141_320672||full	9530	74	0
k141_60146||full	1907	6	0
k141_460923||full	2807	0	0
k141_200390||full	2555	248	8
k141_40095||full	942	5	1
k141_340661||full	605	0	0
k141_40098||full	2235	204	23
k141_561116||full	3100	41	7
